year,industry_code,industry_name_en,variable,mean,n
2015,K,Real Estate,ROA,0.008,134
2015,K,Real Estate,ROE,0.0313,134
2015,F,Wholesale/Retail,SLoan,0.1208,154
2015,F,Wholesale/Retail,LLoan,0.0339,153
2015,F,Wholesale/Retail,Lev,0.5447,154
2015,F,Wholesale/Retail,Cash,0.1982,154
2015,F,Wholesale/Retail,ROA,0.0269,154
2015,F,Wholesale/Retail,ROE,0.0489,154
2015,J,Finance,SLoan,0.0139,50
2015,J,Finance,LLoan,0.0068,50
2015,J,Finance,Lev,0.8048,50
2015,J,Finance,Cash,0.1788,50
2015,J,Finance,ROA,0.0294,50
2015,J,Finance,ROE,0.1581,50
2017,C,Manufacturing,SLoan,0.1199,1750
2017,C,Manufacturing,LLoan,0.0525,1098
2017,C,Manufacturing,Lev,0.3801,2337
2017,C,Manufacturing,Cash,0.1709,2337
2017,C,Manufacturing,ROA,0.0506,2337
2017,C,Manufacturing,ROE,0.0828,2337
2017,D,Power/Gas/Water,SLoan,0.1156,90
2017,D,Power/Gas/Water,LLoan,0.1834,95
2017,D,Power/Gas/Water,Lev,0.5326,109
2017,D,Power/Gas/Water,Cash,0.1149,109
2017,D,Power/Gas/Water,ROA,0.0279,109
2017,D,Power/Gas/Water,ROE,0.0421,109
2017,G,Transport/Storage,SLoan,0.0957,73
2017,G,Transport/Storage,LLoan,0.1275,72
2017,G,Transport/Storage,Lev,0.4207,97
2017,G,Transport/Storage,Cash,0.1381,97
2017,G,Transport/Storage,ROA,0.0532,97
2017,G,Transport/Storage,ROE,0.0933,97
2017,E,Construction,SLoan,0.1137,86
2017,E,Construction,LLoan,0.0834,72
2017,E,Construction,Lev,0.618,98
2017,E,Construction,Cash,0.1572,98
2017,E,Construction,ROA,0.0251,98
2017,E,Construction,ROE,0.0689,98
2017,K,Real Estate,SLoan,0.0626,83
2017,K,Real Estate,LLoan,0.1574,108
2017,K,Real Estate,Lev,0.6424,126
2017,K,Real Estate,Cash,0.1586,126
2017,K,Real Estate,ROA,0.0278,126
2017,K,Real Estate,ROE,0.0825,126
2017,F,Wholesale/Retail,SLoan,0.1306,141
2017,F,Wholesale/Retail,LLoan,0.0566,89
2017,F,Wholesale/Retail,Lev,0.5257,164
2017,F,Wholesale/Retail,Cash,0.1971,164
2017,F,Wholesale/Retail,ROA,0.0312,164
2017,F,Wholesale/Retail,ROE,0.0644,164
2017,J,Finance,SLoan,0.042,38
2017,J,Finance,LLoan,0.0589,24
2017,J,Finance,Lev,0.7741,79
2017,J,Finance,Cash,0.1766,52
2017,J,Finance,ROA,0.0148,79
2017,J,Finance,ROE,0.0813,79
2019,C,Manufacturing,SLoan,0.1171,1970
2019,C,Manufacturing,LLoan,0.0546,1274
2019,C,Manufacturing,Lev,0.3982,2518
2019,C,Manufacturing,Cash,0.1687,2518
2019,C,Manufacturing,ROA,0.0279,2518
2019,C,Manufacturing,ROE,0.0323,2518
2019,D,Power/Gas/Water,SLoan,0.11,96
2019,D,Power/Gas/Water,LLoan,0.1737,102
2019,D,Power/Gas/Water,Lev,0.5511,112
2019,D,Power/Gas/Water,Cash,0.0978,112
2019,D,Power/Gas/Water,ROA,0.0182,112
2019,D,Power/Gas/Water,ROE,0.0017,112
2019,G,Transport/Storage,SLoan,0.0877,82
2019,G,Transport/Storage,LLoan,0.1407,76
2019,G,Transport/Storage,Lev,0.4386,105
2019,G,Transport/Storage,Cash,0.1251,105
2019,G,Transport/Storage,ROA,0.0373,105
2019,G,Transport/Storage,ROE,0.0772,105
2019,E,Construction,SLoan,0.1021,85
2019,E,Construction,LLoan,0.0874,73
2019,E,Construction,Lev,0.6617,93
2019,E,Construction,Cash,0.1461,93
2019,E,Construction,ROA,0.0132,93
2019,E,Construction,ROE,0.0259,93
2019,K,Real Estate,SLoan,0.0483,91
2019,K,Real Estate,LLoan,0.1361,102
2019,K,Real Estate,Lev,0.6309,123
2019,K,Real Estate,Cash,0.149,123
2019,K,Real Estate,ROA,0.0222,123
2019,K,Real Estate,ROE,0.0494,123
2019,F,Wholesale/Retail,SLoan,0.1407,137
2019,F,Wholesale/Retail,LLoan,0.0527,89
2019,F,Wholesale/Retail,Lev,0.5348,167
2019,F,Wholesale/Retail,Cash,0.1754,167
2019,F,Wholesale/Retail,ROA,0.0186,167
2019,F,Wholesale/Retail,ROE,0.0288,167
2019,J,Finance,SLoan,0.0353,53
2019,J,Finance,LLoan,0.0516,35
2019,J,Finance,Lev,0.7622,111
2019,J,Finance,Cash,0.1945,75
2019,J,Finance,ROA,0.0044,111
2019,J,Finance,ROE,0.0488,111
2021,C,Manufacturing,SLoan,0.0983,2357
2021,C,Manufacturing,LLoan,0.0564,1575
2021,C,Manufacturing,Lev,0.3874,3162
2021,C,Manufacturing,Cash,0.1913,3162
2021,C,Manufacturing,ROA,0.0461,3162
2021,C,Manufacturing,ROE,0.0619,3162
2021,D,Power/Gas/Water,SLoan,0.094,117
2021,D,Power/Gas/Water,LLoan,0.1878,119
2021,D,Power/Gas/Water,Lev,0.5647,130
2021,D,Power/Gas/Water,Cash,0.1105,130
2021,D,Power/Gas/Water,ROA,0.0128,130
2021,D,Power/Gas/Water,ROE,-0.0055,130
2021,G,Transport/Storage,SLoan,0.072,83
2021,G,Transport/Storage,LLoan,0.1363,83
2021,G,Transport/Storage,Lev,0.453,109
2021,G,Transport/Storage,Cash,0.1422,109
2021,G,Transport/Storage,ROA,0.0376,109
2021,G,Transport/Storage,ROE,0.053,109
2021,E,Construction,SLoan,0.0805,93
2021,E,Construction,LLoan,0.0864,86
2021,E,Construction,Lev,0.6753,108
2021,E,Construction,Cash,0.1511,108
2021,E,Construction,ROA,-0.0248,108
2021,E,Construction,ROE,-0.145,108
2021,K,Real Estate,SLoan,0.0407,82
2021,K,Real Estate,LLoan,0.1258,100
2021,K,Real Estate,Lev,0.6574,116
2021,K,Real Estate,Cash,0.1265,116
2021,K,Real Estate,ROA,0.0039,116
2021,K,Real Estate,ROE,-0.0597,116
2021,F,Wholesale/Retail,SLoan,0.1192,149
2021,F,Wholesale/Retail,LLoan,0.054,103
2021,F,Wholesale/Retail,Lev,0.5361,188
2021,F,Wholesale/Retail,Cash,0.1845,188
2021,F,Wholesale/Retail,ROA,0.0264,188
2021,F,Wholesale/Retail,ROE,0.0196,188
2021,J,Finance,SLoan,0.0344,55
2021,J,Finance,LLoan,0.0423,33
2021,J,Finance,Lev,0.7657,128
2021,J,Finance,Cash,0.2168,86
2021,J,Finance,ROA,0.0112,128
2021,J,Finance,ROE,0.0752,128
2023,C,Manufacturing,SLoan,0.0835,2808
2023,C,Manufacturing,LLoan,0.0694,2018
2023,C,Manufacturing,Lev,0.3788,3606
2023,C,Manufacturing,Cash,0.2023,3606
2023,C,Manufacturing,ROA,0.0275,3606
2023,C,Manufacturing,ROE,0.0307,3606
2023,D,Power/Gas/Water,SLoan,0.08,116
2023,D,Power/Gas/Water,LLoan,0.2117,122
2023,D,Power/Gas/Water,Lev,0.5473,134
2023,D,Power/Gas/Water,Cash,0.1161,134
2023,D,Power/Gas/Water,ROA,0.0324,134
2023,D,Power/Gas/Water,ROE,0.0622,134
2023,G,Transport/Storage,SLoan,0.072,89
2023,G,Transport/Storage,LLoan,0.1374,91
2023,G,Transport/Storage,Lev,0.4375,114
2023,G,Transport/Storage,Cash,0.1476,114
2023,G,Transport/Storage,ROA,0.0372,114
2023,G,Transport/Storage,ROE,0.0652,114
2023,E,Construction,SLoan,0.0694,95
2023,E,Construction,LLoan,0.1006,85
2023,E,Construction,Lev,0.6782,108
2023,E,Construction,Cash,0.1437,108
2023,E,Construction,ROA,-0.0072,108
2023,E,Construction,ROE,-0.059,108
2023,K,Real Estate,SLoan,0.0441,75
2023,K,Real Estate,LLoan,0.1352,90
2023,K,Real Estate,Lev,0.6232,103
2023,K,Real Estate,Cash,0.1283,103
2023,K,Real Estate,ROA,-0.0014,103
2023,K,Real Estate,ROE,-0.046,103
2023,F,Wholesale/Retail,SLoan,0.1206,159
2023,F,Wholesale/Retail,LLoan,0.0575,105
2023,F,Wholesale/Retail,Lev,0.5282,193
2023,F,Wholesale/Retail,Cash,0.1822,193
2023,F,Wholesale/Retail,ROA,0.0127,193
2023,F,Wholesale/Retail,ROE,0.0109,193
2023,J,Finance,SLoan,0.0282,49
2023,J,Finance,LLoan,0.0509,29
2023,J,Finance,Lev,0.7706,125
2023,J,Finance,Cash,0.2131,83
2023,J,Finance,ROA,0.0082,125
2023,J,Finance,ROE,0.0519,125
